floor,id,name,descripcion
Floor0,oistersroom,Oisters Room,Descripcion del juego
Floor0,otherkitchen,Other Kitchen,Descripcion del juego
Floor0,cellar,Cellar,Descripcion del juego
Floor0,dungeon,Dungeon,Descripcion del juego
Floor0,dungeontoilet,Dungeon Toilet,Descripcion del juego
Floor0,oisterstoilet,Oisters Toilet,Descripcion del juego
Floor0,walrusroom,Walrus Room,Descripcion del juego
Floor0,otherlivingroom,Other Living Room,Descripcion del juego
Floor0,tweedledeeroom,Tweedledee Room,Descripcion del juego
Floor0,bbq,BBQ,Descripcion del juego
Floor0,bbqchill,BBQ Chill,Descripcion del juego
Floor0,apartment,Apartment,Descripcion del juego
Floor1,trianglepool,Triangle Pool,Descripcion del juego
Floor1,patio,Patio,Descripcion del juego
Floor1,gardentable,Garden Table,Descripcion del juego
Floor1,gardenspot,Garden Spot,Descripcion del juego
Floor1,mainentrance,Main Entrance,Descripcion del juego
Floor1,cornerroom,Corner Room,Descripcion del juego
Floor1,toilet,Toilet,Descripcion del juego
Floor1,cinaroom,Cinema Room,Descripcion del juego
Floor1,livingroom,Living Room,Descripcion del juego
Floor1,dinningroom,Dinning Room,Descripcion del juego
Floor1,madhatter,Mad Hatter,Descripcion del juego
Floor1,kitchen,Kitchen,Descripcion del juego
Floor2,scaryroom,Scary Room,Descripcion del juego
Floor2,coworkingroom1,Coworking Room 1,Descripcion del juego
Floor2,balcony,Balcony,Descripcion del juego
Floor2,coworkingroom2,Coworking Room 2,Descripcion del juego
Floor2,canterpillarroom2,Canterpillar Room Spot 1,Descripcion del juego
Floor2,canterpillarroom1,Canterpillar Room Spot 2,Descripcion del juego
