RoomName,ListingId,UnitId,CalendarId
Mad Hatter,383946,59815,c_d7d541f844f45b1c57f790f9793cd6918c7fb813e7793aece35b480451c1353e@group.calendar.google.com
King of Hearts,383946,59816,c_1a3a9e8202d3fa5851b6a8dd15d7b53ff7fb361faa4b4159d06537a089c1749d@group.calendar.google.com
Queen of Hearts,383946,59814,c_f149cf20e852e4766934dddb955bf648ccdff1517776668647af73de7f7e1d2d@group.calendar.google.com
Alice,383949,59819,c_e98f505e3f844f3ecacfa174812591d7d6df6d0d0d748beab1ea1b5f958b6758@group.calendar.google.com
White Rabbit,384402,60061,c_96bd521b522a861cbe3ca58d72d797217d21b015f886ff963cc79ab68e1e034b@group.calendar.google.com
Walrus,383949,59817,c_f2a4d744351ba074a12219d0eb58a3d974f16f98cdf03ce47453a69538ee740d@group.calendar.google.com
Oister 1,384404,59823,c_98a3bf8289bdf88da6a994eb5d4d62514efb264461875f013edd5a85d1f21c31@group.calendar.google.com
Oister 2,384404,59824,c_333e696f3e17b024cf37536739bf75ba312cc0972acb881a6610eee6064598eb@group.calendar.google.com
Oister 3,384404,59825,c_9f8231ecf12d1441a5dbc12f72f8a1cf9d655543ef2297fbad76fb26ea09cd96@group.calendar.google.com
Oister 4,384404,59826,c_0d28715705ffc6d726ae5523803992c12ddd4f2da3eb50fffbf8c5bdcb348de4@group.calendar.google.com
Cheshire Cat,383949,59818,c_1066e66b7eb848ce76737393a2da0473f5cca368261fb570165e445479ee2c15@group.calendar.google.com
Tweedledee,384402,60060,c_03e0073d82ad9a156ab821f3149389f54bfdacca2f0dc55c945c17cb301d80dd@group.calendar.google.com
